,ID_MN_RESI,NU_IDADE_N,p
1,110012.0,30.0,0.8095238095238095
3,110030.0,6.013888888888889,0.04981854173540101
4,110146.0,8.75,0.34693877551020413
5,120040.0,29.0,0.8029556650246306
6,130008.0,6.6,0.13419913419913432
9,130030.0,16.267857142857142,0.6487376509330407
10,130040.0,35.0,0.8367346938775511
11,130063.0,9.903846153846153,0.4230235783633842
12,130080.0,7.0,0.1836734693877553
13,130083.0,17.0,0.6638655462184875
15,130110.0,18.82658014900264,0.6964777634036506
16,130115.0,18.305555555555557,0.6878387166702797
17,130120.0,10.977124183006536,0.47943690724280197
18,130130.0,14.863095238095239,0.6155386463756509
20,130160.0,19.0,0.6992481203007519
21,130185.0,14.291666666666666,0.6001665972511454
22,130190.0,15.408661429894307,0.629151062843172
23,130200.0,42.0,0.8639455782312926
24,130220.0,15.430353687795062,0.629672408688497
26,130250.0,15.44894002143126,0.6301179429553954
27,130255.0,21.958333333333332,0.7397668744917323
28,130260.0,17.534427464567894,0.6741105048435334
29,130270.0,35.5,0.8390342052313884
30,130290.0,19.663888888888888,0.7094020543660323
31,130300.0,13.305555555555555,0.5705338502833284
33,130320.0,13.030303030303031,0.5614617940199337
34,130330.0,17.63888888888889,0.6760404949381328
35,130340.0,26.0,0.7802197802197802
36,130353.0,14.521929824561404,0.6065064503602711
37,130356.0,11.130030984996738,0.48658851696023486
38,130380.0,35.0,0.8367346938775511
41,130410.0,8.466666666666667,0.32508436445444333
42,130420.0,9.798245614035087,0.4168052180585753
43,130423.0,19.333333333333332,0.7044334975369458
44,130430.0,59.0,0.9031476997578692
46,140002.0,13.333333333333334,0.5714285714285715
47,140005.0,15.055555555555555,0.6204533473906169
48,140010.0,7.725198667978506,0.26030566204441696
49,140017.0,10.952380952380953,0.4782608695652174
52,140045.0,9.59119496855346,0.4042154566744731
53,140047.0,6.363095238095238,0.10196445275958854
54,140050.0,16.5,0.6536796536796536
55,150010.0,21.2905857223556,0.7316050488791587
56,150020.0,22.06111111111111,0.7409792423642839
57,150030.0,18.15,0.6851633215269579
58,150040.0,25.0,0.7714285714285715
60,150070.0,21.25,0.73109243697479
61,150080.0,20.473572461973593,0.720894547109495
62,150090.0,21.052405498281786,0.7285685137144023
63,150095.0,9.5,0.3984962406015039
64,150100.0,40.0,0.8571428571428572
65,150110.0,13.078947368421053,0.5630928427709112
67,150130.0,17.78205128205128,0.6786486764857349
68,150140.0,17.706939337359728,0.6772855203592871
69,150150.0,17.58040935672515,0.6749628749628751
70,150160.0,15.783333333333335,0.637954442600694
71,150170.0,21.025757575757577,0.728224503031738
72,150175.0,28.0,0.7959183673469388
73,150180.0,14.386925489694022,0.6028139772893726
74,150190.0,49.0,0.8833819241982508
75,150200.0,26.86771037181996,0.7873177269217883
76,150210.0,20.63888888888889,0.7231301672755239
77,150215.0,20.0,0.7142857142857143
78,150220.0,14.810606060606062,0.6141761052246987
79,150230.0,9.61111111111111,0.4054500412881916
80,150240.0,13.554232804232804,0.5784131941055919
81,150250.0,13.234848484848486,0.5682394308610681
82,150275.0,6.777777777777778,0.1569086651053866
83,150280.0,20.0,0.7142857142857143
84,150285.0,10.518518518518517,0.4567404426559356
85,150290.0,18.521929824561404,0.691485403064849
86,150300.0,21.0,0.7278911564625851
88,150307.0,7.75,0.2626728110599079
89,150309.0,26.895833333333332,0.787540112869315
91,150320.0,20.99074074074074,0.727771126094902
92,150330.0,18.5515873015873,0.6919786096256685
93,150340.0,11.2,0.48979591836734704
94,150345.0,20.0,0.7142857142857143
95,150350.0,17.0,0.6638655462184875
96,150360.0,7.0,0.1836734693877553
97,150370.0,9.0,0.3650793650793652
98,150375.0,31.979166666666664,0.821312238250349
99,150390.0,9.583333333333334,0.40372670807453426
100,150400.0,18.39530925695309,0.6893618022689225
101,150405.0,20.825854700854702,0.725615788817964
102,150420.0,17.156893004115226,0.6669393629187351
103,150430.0,35.5,0.8390342052313884
104,150442.0,17.54562383612663,0.6743184643842679
105,150450.0,12.780864197530864,0.5529030254941871
106,150460.0,22.602150537634408,0.7471795568845997
107,150470.0,20.23880184835808,0.7176569167927647
108,150475.0,63.0,0.909297052154195
109,150480.0,14.1625,0.5965199848694994
110,150490.0,23.359848484848484,0.7553800180685214
111,150495.0,26.0,0.7802197802197802
113,150506.0,19.99503842298697,0.7142148170259889
115,150520.0,20.5,0.7212543554006969
117,150550.0,13.03930817610063,0.5617646552169644
118,150553.0,12.284979423868313,0.5348558986445261
119,150570.0,20.11111111111111,0.7158642462509867
120,150580.0,13.369385342789597,0.5725842611479851
121,150590.0,13.5,0.5767195767195767
122,150600.0,14.975378787878787,0.6184212903575494
125,150620.0,24.425303696045493,0.7660505766726303
126,150630.0,35.0,0.8367346938775511
127,150635.0,19.462962962962962,0.7064020660595351
128,150640.0,19.83888888888889,0.7119654358523023
129,150650.0,19.076666666666668,0.7004568033748535
130,150655.0,26.0,0.7802197802197802
131,150660.0,9.1875,0.3780369290573373
132,150680.0,15.765151515151514,0.6375368984691425
135,150710.0,7.423059360730594,0.23019803067783884
136,150715.0,25.0,0.7714285714285715
137,150720.0,22.978070175438596,0.7513156818367737
139,150747.0,16.050862506341957,0.6439888690076371
140,150750.0,21.0,0.7278911564625851
141,150760.0,19.133333333333333,0.7013439522150324
142,150770.0,22.633333333333333,0.7475278771302336
143,150780.0,7.708333333333333,0.2586872586872587
144,150790.0,14.447916666666666,0.6044906787516737
145,150795.0,17.994345747716896,0.6824399289420824
147,150800.0,21.6,0.7354497354497356
148,150803.0,20.62121212121212,0.722892830901648
150,150812.0,18.333333333333332,0.6883116883116883
151,150820.0,14.666666666666666,0.6103896103896104
152,150830.0,22.86235238545111,0.7500569662323066
156,160021.0,14.458333333333334,0.604775627830383
157,160023.0,10.145833333333334,0.43678498093282503
159,160030.0,6.2252881794451245,0.08208494939184618
160,160040.0,7.559139784946237,0.24405608616134944
163,160060.0,6.1032864028411975,0.0637362664767619
164,160070.0,8.940476190476192,0.3608521970705727
168,210290.0,16.291666666666668,0.6492510047497261
172,211130.0,10.416666666666666,0.4514285714285715
173,211300.0,48.0,0.8809523809523809
174,220025.0,21.0,0.7278911564625851
177,220557.0,9.0,0.3650793650793652
179,220600.0,32.0,0.8214285714285714
181,220770.0,29.0,0.8029556650246306
183,220995.0,40.0,0.8571428571428572
184,221100.0,47.5,0.8796992481203008
185,230015.0,19.0,0.6992481203007519
187,230100.0,15.194444444444445,0.6239226952206843
189,230140.0,15.0,0.6190476190476191
194,230310.0,27.597222222222225,0.792939823136099
195,230370.0,11.307639145995312,0.4946526290318106
196,230400.0,6.285714285714286,0.09090909090909105
197,230420.0,46.0,0.8757763975155279
198,230428.0,20.333333333333332,0.7189695550351288
200,230435.0,24.52777777777778,0.767027988998544
201,230440.0,12.007360165513722,0.5241014148390681
202,230450.0,34.0,0.8319327731092437
203,230470.0,20.0,0.7142857142857143
204,230495.0,22.0,0.7402597402597403
206,230540.0,35.0,0.8367346938775511
207,230625.0,15.625,0.6342857142857143
211,230765.0,10.098958333333334,0.43417078022544775
212,230770.0,8.0,0.2857142857142858
213,230790.0,24.833333333333332,0.7698945349952061
214,230800.0,18.42883211678832,0.6899268668750795
215,230820.0,12.766666666666667,0.5524058187243568
219,231020.0,13.763888888888888,0.5848349430589592
221,231085.0,21.0,0.7278911564625851
223,231200.0,23.8,0.7599039615846339
225,231280.0,24.854166666666664,0.7700874146808766
226,231290.0,14.926706827309237,0.6171770652163469
227,231350.0,25.214285714285715,0.773371104815864
229,231380.0,16.824858757062145,0.6603664971697208
230,231390.0,17.0,0.6638655462184875
232,240130.0,10.0,0.4285714285714286
233,240325.0,16.979166666666668,0.6634531113058721
234,240710.0,6.0,0.04761904761904778
235,240810.0,29.0,0.8029556650246306
236,240940.0,34.0,0.8319327731092437
239,250150.0,38.0,0.849624060150376
240,250170.0,31.305555555555554,0.8174673596146533
241,250180.0,10.8,0.47089947089947104
243,250300.0,15.0,0.6190476190476191
244,250320.0,17.25,0.668737060041408
245,250330.0,24.0,0.761904761904762
248,250470.0,29.0,0.8029556650246306
254,250750.0,14.642708333333335,0.609752131627354
257,250890.0,9.0,0.3650793650793652
258,250980.0,8.0,0.2857142857142858
260,251315.0,23.0,0.7515527950310559
262,251370.0,9.5,0.3984962406015039
264,251500.0,38.0,0.849624060150376
265,251530.0,20.0,0.7142857142857143
266,251620.0,11.648148148148149,0.509425391778333
267,260005.0,6.447916666666667,0.11377798292176333
270,260120.0,23.0,0.7515527950310559
271,260170.0,9.0,0.3650793650793652
272,260190.0,9.5,0.3984962406015039
273,260200.0,14.0,0.5918367346938777
275,260260.0,17.069444444444446,0.6652330582354993
280,260380.0,16.333333333333332,0.6501457725947521
282,260400.0,13.516666666666666,0.5772415007926722
283,260410.0,14.145426425099425,0.596032983201809
286,260500.0,18.0,0.6825396825396826
